address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
201/205  East  42nd  st.,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,113.2,Not Available,70986509,193.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,148096044.7,Not Available,Not Available,Not Available,1.82,Not Available,-17.7,Not Available
1919 Williamsbridge Road,Not Available,Not Available,New York,Not Available,1850,250.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4564693.7,130.9,44,52934,1.08,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,147,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.54,80,7340975.1,Fuel Oil (No. 4),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1049 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,15001.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,24266998.9,268.2,45,157307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24,Not Available,121,22,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,43945961.4,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
188 Ludlow St.,Not Available,Not Available,New York,Not Available,Not Available,3001.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10098401.5,93.1,243,210043,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19546914.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
70 Park Ave,Not Available,Not Available,New York,Not Available,Not Available,82.0,Not Available,Not Available,Not Available,"Terry only (e.g., towels, bathrobes)",Not Available,No,Not Available,Not Available,130.2,Not Available,12263794,339.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8682.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29872651.8,Not Available,Not Available,Not Available,Not Available,Not Available,7.1,Not Available
23 New Paltz Plaza,Not Available,Not Available,New York,Not Available,67738,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,241.9,Not Available,12775085.3,515.6,Not Available,Not Available,0.75,48,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,34789969.5,Not Available,Not Available,Not Available,Not Available,Not Available,-22,Not Available
1981-1995 Sedgwick Avenue,Not Available,Not Available,New York,Not Available,Not Available,247.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,17024686.7,153.3,222,185000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,282,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26575397.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1919 Williamsbridge Road,Not Available,Not Available,New York,Not Available,Not Available,250.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6071265.1,136.4,66,59800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,214,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,8244878.6,Fuel Oil (No. 4),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
425 East 51st Street,Not Available,Not Available,New York,Not Available,Not Available,8603.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4470293.3,83.6,66,81862,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,130,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6889199,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
315 WEST 39TH STREET,Not Available,Not Available,New York,Not Available,Not Available,115.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,Not Available,9639348.7,108.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17764176,Not Available,Not Available,Not Available,Not Available,Not Available,-46.9,Not Available
158 Rt. 25A,Not Available,Not Available,New York,Not Available,52851,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,253.9,Not Available,12512957.4,596.8,Not Available,Not Available,0.74,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,31344514.9,Not Available,Not Available,Not Available,Not Available,Not Available,-6.7,Not Available
59 Burnett Blvd.,Not Available,Not Available,New York,Not Available,82569,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,263.9,Not Available,16749841.2,490.3,Not Available,Not Available,0.75,23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,42066334.5,Not Available,Not Available,Not Available,Not Available,Not Available,-23.1,Not Available
20-41 thru 20-45 Seagirt Blvd,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6921809.2,74.5,134,107528,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7939797.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1370 Avenue of the Americas,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,107.1,Not Available,37777518.3,220.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.22,10115,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,84046437.1,Not Available,55,1,Not Available,Not Available,-6.7,283
240 Crown Street,Not Available,Not Available,New York,Not Available,Not Available,321.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,135,173921,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,177,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50-35 56th Road,Not Available,Not Available,New York,Not Available,Not Available,219.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,57,Not Available,6830558,100.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12336244.6,Not Available,Not Available,Not Available,Not Available,Not Available,-7.8,Not Available
86-25 VAN WYCK EXPY ENTM,Not Available,Not Available,New York,Not Available,Not Available,214.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,15546971.9,160.7,201,167390,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,451,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25386158.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
