property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
EAST TWENTY SIXTH ASSOCIATES,NEW YORK,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,14-SEP-12,2833780.3,Not Available,Not Available,31-DEC-12,700,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant Office.<br>,253623,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (19-SEP-12),Not Available,BIN# 1016876,Not Available,Not Available,Not Available,1.18,Not Available,Not Available,95.44,-73.98755,Not Available,253623,NEW YORK,1912,7,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-04-24T05:52:21.000,Not Available,Not Available,1008560009.0,MANHATTAN,Not Available,Not Available,Not Available,1209.73
3291 NOSTRAND AVE ENTM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,340549.8,Not Available,Not Available,31-DEC-12,6088592,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3197677,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.942535,Not Available,89004,KINGS,1960,60885.9,Not Available,Not Available,Not Available,Not Available,Not Available,Madison,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3073090040.0,BROOKLYN,Not Available,Not Available,Not Available,433.01
0556 Hempstesd,Hempstesd,Not Available,Not Available,Not Available,Not Available,230.8,Not Available,Not Available,Not Available,Not Available,2877297.8,Not Available,Not Available,31-MAR-13,7171733.33,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,66958,NASSAU,Not Available,71717.3,Not Available,Not Available,Not Available,Not Available,12,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,2240.73
P & R Heights,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31-DEC-11,Not Available,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.941066,Not Available,84800,NEW YORK,1927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Washington Heights South,No,Not Available,Not Available,Not Available,2013-05-15T05:13:10.000,0,Not Available,1021390578.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
Capitol Building Loft Corp.,New York,Not Available,0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,679165.2,Not Available,0,31-DEC-12,59374.19,Not Available,Not Available,3633829.79,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1014205,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.995424,86,86280,NEW YORK,1925,593.7,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,43,2013-05-30T10:19:25.000,0,Not Available,1007750060.0,MANHATTAN,Not Available,Not Available,Not Available,488.06
2 Park Avenue,New York,Not Available,2,0.68,Not Available,0,Not Available,Not Available,Not Available,23-NOV-12,13880917.6,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,871191,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (11-JAN-13),Not Available,1017019,Not Available,Not Available,100,4.06,Not Available,Not Available,100,-73.982092,Not Available,916666,NEW YORK,1928,Not Available,Not Available,1793,Not Available,16931620.22,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-26T12:16:00.000,Not Available,Not Available,1008620029.0,MANHATTAN,Not Available,Not Available,Not Available,5783.42
405 WESTMINSTER RD HCM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,750831.3,Not Available,Not Available,31-DEC-12,9829826,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3118652,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.966844,Not Available,153414,KINGS,1960,98298.3,Not Available,Not Available,Not Available,Not Available,Not Available,Flatbush,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3051550050.0,BROOKLYN,Not Available,Not Available,Not Available,763.47
21 East 96th Street Condo,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,496461.6,Not Available,0,31-DEC-12,1743833.13,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1051442,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.955041,18,36755,NEW YORK,2005,17438.3,Not Available,Not Available,Not Available,Not Available,Not Available,East Harlem South,No,Not Available,Not Available,9,2013-05-31T12:02:12.000,0,Not Available,1016027502.0,MANHATTAN,Not Available,Not Available,Not Available,251.81
77 Park Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,740028.3,Not Available,10,31-DEC-12,19631.25,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1019166,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.978746,12,112958,NEW YORK,1924,196.3,Not Available,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,82,2013-05-31T12:02:12.000,0,Not Available,1008947501.0,MANHATTAN,Not Available,Not Available,Not Available,947.31
C&W Glorious Sun 505 Park Avenue,New york,Not Available,11,6.66,Not Available,0,Not Available,Not Available,Not Available,Not Available,2756184.5,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,211699,Not Available,Not Available,Not Available,Not Available,Application - In Draft (01-MAY-09),Not Available,Not Available,Not Available,Not Available,Not Available,3.31,Not Available,Not Available,100,-73.969641,Not Available,226421,NEW YORK,1947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1013940001.0,MANHATTAN,Not Available,Not Available,Not Available,882.93
"115 E. 86 Owners, Inc.",New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,126601.9,Not Available,9,31-DEC-12,64725,Not Available,Not Available,5235427.68,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1047953,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.956494,82,121439,NEW YORK,1927,647.3,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,50,2013-05-31T12:02:12.000,0,Not Available,1015150008.0,MANHATTAN,Not Available,Not Available,Not Available,429.16
175 Water Street,New York,Not Available,2,0.77,Not Available,0,Not Available,Not Available,Not Available,Not Available,10122426.2,Not Available,Not Available,31-DEC-12,370962.5,Not Available,Not Available,Not Available,Not Available,Not Available,497902,Not Available,Not Available,Not Available,Not Available,No Status Available,16805682.65,"1001137

1804058",Not Available,Not Available,Not Available,3.31,Not Available,Not Available,83.7,-74.005208,Not Available,510858,NEW YORK,1983,3709.6,Not Available,Not Available,Not Available,5498529.07,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-31T07:53:46.000,Not Available,Not Available,1000717501.0,MANHATTAN,Not Available,Not Available,Not Available,4932.86
Our Lady of Mercy Senior Manor,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,151166.5,Not Available,3,31-JAN-13,2760300,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2-4834-63,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.859536,0,29270,BRONX,1960,27603,Not Available,Not Available,Not Available,Not Available,Not Available,Williamsbridge-Olinville,No,Not Available,Not Available,0,2013-04-04T13:18:43.000,0,Not Available,2048340063.0,BRONX,Not Available,Not Available,Not Available,195.27
S & E Bridge,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31-DEC-11,Not Available,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.93324,Not Available,85000,NEW YORK,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Washington Heights North,No,Not Available,Not Available,Not Available,2013-05-15T05:13:10.000,0,Not Available,1021800480.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
640 West 237 Street,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,944464.5,Not Available,2,31-DEC-12,5232150,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2114608,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.911938,130,174698,BRONX,2006,52321.5,Not Available,Not Available,Not Available,Not Available,Not Available,North Riverdale-Fieldston-Riverdale,No,Not Available,Not Available,65,2013-05-31T12:02:12.000,0,Not Available,2059037501.0,BRONX,Not Available,Not Available,Not Available,580.9
27 West 72nd Street - The Olcott,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2414662.4,Not Available,36,31-JAN-13,21966878.5,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,1087511,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.977748,0,259240,NEW YORK,1925,219668.8,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,No,Not Available,Not Available,158,2013-05-31T12:02:12.000,0,Not Available,1011257502.0,MANHATTAN,Not Available,Not Available,Not Available,1942.16
35 East 10th Street,New York,Not Available,0,0.89,Not Available,0,Not Available,Not Available,Not Available,Not Available,480551.2,Not Available,8,31-JAN-13,110912.12,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,1077913,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.992812,6,97500,NEW YORK,1900,1109.1,Not Available,Not Available,Not Available,Not Available,Not Available,West Village,No,Not Available,Not Available,40,2013-05-31T12:02:12.000,0,Not Available,1005620040.0,MANHATTAN,Not Available,Not Available,Not Available,159.84
Grace Building,New York,Not Available,Not Available,Not Available,Not Available,63.5,Not Available,Not Available,Not Available,21-JUN-11,28353148,Not Available,Not Available,31-MAR-13,Not Available,Not Available,0,Not Available,Not Available,Not Available,1518710,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (01-JUL-11),Not Available,1034196,Not Available,Not Available,100,3.29,Not Available,Not Available,100,-73.983732,Not Available,1537287,NEW YORK,1971,Not Available,Not Available,14793,Not Available,71287997.43,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1012580009.0,MANHATTAN,Not Available,Not Available,Not Available,14710.95
185 West  Broadway,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,1,Not Available,Not Available,5403939,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>,15000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2558304,Not Available,Not Available,Not Available,2.13,Not Available,Not Available,25,-74.007114,Not Available,280000,NEW YORK,2008,Not Available,Not Available,Not Available,Not Available,9025557300,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,No,Not Available,Not Available,Not Available,2013-04-22T03:27:32.000,Not Available,Not Available,1001760018.0,MANHATTAN,Not Available,Not Available,Not Available,714298.87
