address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
148 WEST 37TH STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T21:06:47.000,Not Available,Not Available,Not Available,Not Available,0,825,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.3493,Not Available,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,104.4,40.752465,218,Not Available,502.2,49.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,Not Available,Not Available,NEW YORK,130,1,Not Available,22179446.7,Not Available,Not Available,Not Available,22.5
8855 BAY PKWY HCM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,134270,Not Available,Not Available,2015-04-30T16:29:42.000,Not Available,Not Available,Not Available,Not Available,0,816.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11214,Not Available,Not Available,82.9,Not Available,Not Available,0,129.5,40.596831,185,Not Available,Not Available,90.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:43 PM EDT,Not Available,Ok,17112659.3,Not Available,Brooklyn,Not Available,1,Not Available,19982425.2,Not Available,Not Available,Not Available,96259.4
240 Riverside Blvd,Ok,No,Not Available,Not Available,Not Available,Not Available,0,447049,Not Available,Not Available,2015-04-30T14:19:36.000,340,Not Available,Not Available,Not Available,0,1920.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10069,Not Available,Not Available,82.9,Not Available,Not Available,1.69,152.7,40.780478,1110.4,Not Available,Not Available,85.8,Not Available,58919,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:36 PM EDT,6,Ok,67599973.1,Not Available,New York,Not Available,1,Not Available,53796863.5,Not Available,Not Available,Not Available,241702.9
175 West 12th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,161596,100,Not Available,2015-04-29T11:36:01.000,0,0,Not Available,Not Available,0,1353.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,Not Available,Not Available,82.9,Not Available,Not Available,1.2,128,40.736853,303.2,Not Available,Not Available,81.5,40,Not Available,14,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,10,Ok,21277742.2,Not Available,New York,Not Available,1,Not Available,28026265.3,Not Available,Not Available,Not Available,4459.7
519 GATEWAY DR,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-06-02T16:51:23.000,Not Available,0.047,Not Available,Not Available,0,1640.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1786.6,11239,Not Available,Not Available,82.9,Not Available,Not Available,3.14,226.1,40.651356,654.4,Not Available,1786.6,109.9,Not Available,0,52,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,33276256,Not Available,BROOKLYN,Not Available,1,Not Available,50019612,Not Available,Not Available,Not Available,81009.3
275 Madison Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T12:38:27.000,Not Available,Not Available,Not Available,Not Available,0,2949.5,Not Available,Not Available,Not Available,Not Available,13610,100,Not Available,Not Available,2.80836,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,2.97,188.7,40.751261,1155.9,Not Available,Not Available,94.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:45 PM EDT,Not Available,Ok,61155051.5,Not Available,New York,836,1,Not Available,85873717.6,Not Available,Not Available,Not Available,141281.8
1919 Williamsbridge Road,Ok,No,Not Available,Not Available,Not Available,Not Available,0,49500,Not Available,Not Available,2015-04-30T20:24:18.000,17,Not Available,Not Available,Not Available,0,271.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,163.1,40.852799,89.4,Not Available,Not Available,113.6,40,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,Not Available,Not Available,Bronx,Not Available,1,Not Available,6558341.1,Not Available,Not Available,Not Available,43901.4
2690 Morris Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,79600,Not Available,Not Available,2015-05-18T14:10:48.000,Not Available,Not Available,Not Available,Not Available,0,568.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10468,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,149.3,40.86762,90.1,Not Available,Not Available,118.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,11018790.9,Not Available,Bronx,Not Available,1,Not Available,9534763.8,Not Available,Not Available,Not Available,5475
174 Hudson Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-03-13T11:56:44.000,Not Available,Not Available,Not Available,Not Available,0,304.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.38164,504.2,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,155.8,40.722374,212.9,Not Available,504.2,49.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,8061251.5,Not Available,New York,175,1,Not Available,11512316.8,Not Available,Not Available,Not Available,Not Available
120 West 176th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,56370,Not Available,Not Available,2015-04-27T14:21:03.000,0,Not Available,Not Available,Not Available,0,343.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4200.8,10453,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,116.3,40.849441,71.1,Not Available,4200.8,80.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/16/2015 12:41 PM EDT,14,Ok,6423021.3,Not Available,Bronx,Not Available,1,Not Available,8447496.1,Not Available,Not Available,Not Available,35535.8
250 Vesey Street,Ok,No,-171341364.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T11:13:09.000,Not Available,Not Available,Not Available,Not Available,0,8958.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.66566,29751.8,10281,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,171.3,40.714529,6100.2,Not Available,29751.8,10.4,Not Available,143982,Not Available,Not Available,Not Available,Not Available,04/09/2015 04:54 PM EDT,Not Available,Ok,338445230.5,Not Available,New York,3300,1,Not Available,498445535.2,Not Available,Not Available,Not Available,Not Available
970 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,102804,Not Available,Not Available,2015-07-31T14:52:29.000,45,Not Available,Not Available,Not Available,0,565.1,Not Available,Not Available,98418.88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,116.1,40.778036,166.1,Not Available,Not Available,73.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05/04/2015 01:28 PM EDT,9,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,12007571.2,Not Available,Not Available,Not Available,10070.9
111 W 67th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,325728,100,Not Available,2015-04-30T09:36:11.000,0,0,Not Available,Not Available,0,3283.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,Not Available,Not Available,82.9,Not Available,Not Available,0,126.2,40.774532,1217.7,Not Available,Not Available,78.5,Not Available,Not Available,20,Not Available,Not Available,Not Available,04/29/2015 04:41 PM EDT,15,Ok,86985764.3,Not Available,New York,Not Available,1,Not Available,86401418.7,Not Available,Not Available,Not Available,385604.2
165 E 56th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T15:00:10.000,Not Available,Not Available,Not Available,Not Available,0,527.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.38252,765.8,10022,Not Available,Not Available,82.9,Not Available,Not Available,4.6,207.1,40.759952,448.9,Not Available,765.8,83.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,14310932.7,Not Available,New York,218,1,Not Available,16928508.4,Not Available,Not Available,Not Available,Not Available
155 W 60th St,Ok,No,Not Available,Not Available,282506,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T09:43:28.000,Not Available,Not Available,Not Available,Not Available,0,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10023,Not Available,Not Available,82.9,Not Available,Not Available,2.07,145.8,40.770503,643.8,Not Available,Not Available,84.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,40315940.3,Not Available,New York,Not Available,1,Not Available,54127487.9,Not Available,Not Available,Not Available,150244.5
1250 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-15T17:36:50.000,Not Available,Not Available,Not Available,Not Available,0,7757.6,Not Available,No,Not Available,Not Available,5682,50,Not Available,Not Available,4.90011,Not Available,10001,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,208.6,40.747571,5052.6,Not Available,Not Available,100.4,Not Available,49572,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,147823981.8,Not Available,New York,3445.75,1,Not Available,220402571.3,Not Available,Not Available,Not Available,41884.7
283 PLATINUM AVE,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,90,Not Available,2015-07-21T09:27:33.000,Not Available,0,Not Available,Not Available,0,1318.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10314,Not Available,Not Available,82.9,Not Available,Not Available,2.15,107.9,40.578694,476.8,Not Available,Not Available,42.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,19773044.2,Not Available,STATEN ISLAND,Not Available,1,Not Available,41991838.2,Not Available,Not Available,Not Available,2933.9
116 E 63 St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,84968,Not Available,Not Available,2015-04-30T14:09:38.000,24,Not Available,Not Available,Not Available,0,481.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2600.2,10065,Not Available,Not Available,82.9,Not Available,Not Available,0,109,40.765054,116.9,Not Available,2600.2,71.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,2,Ok,9261521.1,Not Available,New York,Not Available,1,Not Available,12202175,Not Available,Not Available,Not Available,46385.8
250 West 24th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,74545,Not Available,Not Available,2015-04-29T11:36:43.000,0,Not Available,Not Available,Not Available,0,447.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,Not Available,Not Available,82.9,Not Available,Not Available,1.21,141.1,40.745378,123.1,Not Available,Not Available,96.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,12,Ok,10269685.7,Not Available,New York,Not Available,1,Not Available,9349514,Not Available,Not Available,Not Available,20751.1
1120 Avenue of the Americas,Ok,No,Not Available,50,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T14:22:35.000,Not Available,Not Available,Not Available,Not Available,0,5666.7,Not Available,No,Not Available,Not Available,11115,65,Not Available,Not Available,3.17653,Not Available,10036,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,169.3,40.755651,3680.8,4,Not Available,79.5,Not Available,142000,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,Not Available,Not Available,New York,1933.01,1,Not Available,162327258.4,Not Available,Not Available,Not Available,234.2
320 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T16:59:55.000,Not Available,Not Available,Not Available,Not Available,0,7466.5,Not Available,No,Not Available,Not Available,715659,87,Not Available,Not Available,Not Available,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,5.16,248.2,40.75745,5298.3,Not Available,32230.1,93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/24/2015 05:37 PM EDT,Not Available,Ok,177277707,Not Available,New York,Not Available,1,Not Available,252477628.5,Not Available,Not Available,Not Available,Not Available
225 Varick St,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:46:10.000,Not Available,Not Available,Not Available,Not Available,0,2944.9,Not Available,Not Available,Not Available,Not Available,3920,50,Not Available,Not Available,2.27754,Not Available,10014,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,139.9,40.729165,1111.4,Not Available,Not Available,63.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,52108592.4,Not Available,New York,776,1,Not Available,93274947.7,Not Available,Not Available,Not Available,95511.8
390 GREENWICH STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T17:00:46.000,Not Available,Not Available,Not Available,Not Available,0,3062.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.75741,58135.4,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,1068.1,40.720862,21289.4,Not Available,58135.4,349.8,Not Available,50000,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,816988353.8,Not Available,NEW YORK,9960,1,Not Available,113245887.6,Not Available,Not Available,Not Available,Not Available
322 West 57th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,772508,100,Not Available,2015-05-01T20:21:39.000,269,0,Not Available,Not Available,0,5486.8,404181.84,Not Available,908445.36,Not Available,Not Available,Not Available,Not Available,Not Available,5.13573,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,1.6,143.3,40.767077,1472.7,Not Available,Not Available,96.3,Not Available,81622,4,Not Available,Not Available,Not Available,05/01/2015 08:20 PM EDT,204,Ok,Not Available,Not Available,New York,140,1,Not Available,106269911.5,Not Available,Not Available,Not Available,6173.8
20 Rockefeller Plaza,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T10:32:56.000,Not Available,Not Available,Not Available,Not Available,0,351.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10111,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,294.2,40.758348,1209.9,Not Available,Not Available,94.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,45893690.1,Not Available,New York,Not Available,1,Not Available,13274250.6,Not Available,Not Available,Not Available,828.3
255 MILL RD HLS,Ok,No,Not Available,Not Available,Not Available,Not Available,0,122204,Not Available,Not Available,2015-04-30T16:29:43.000,Not Available,Not Available,Not Available,Not Available,0,649.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10306,Not Available,Not Available,82.9,Not Available,Not Available,0,98.9,40.562953,168.9,Not Available,Not Available,61,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:43 PM EDT,Not Available,Ok,11915731.7,Not Available,Staten Island,Not Available,1,Not Available,17175922.8,Not Available,Not Available,Not Available,52704.6
225 East 46th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,85245,Not Available,Not Available,2015-07-31T14:52:09.000,0,Not Available,Not Available,Not Available,0,582.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,99.3,40.753025,131.4,Not Available,Not Available,59.1,Not Available,3500,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,10,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,12878318.4,Not Available,Not Available,Not Available,2114
77 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,110958,Not Available,Not Available,2015-07-31T14:52:43.000,12,Not Available,Not Available,Not Available,0,779.2,189879.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,164,40.74999,205.5,Not Available,Not Available,116,50,Not Available,Not Available,Not Available,Not Available,Not Available,05/04/2015 02:52 PM EDT,10,Ok,17932940.3,Not Available,New York,Not Available,1,Not Available,14450738.2,Not Available,Not Available,Not Available,3270.4
2865 Kingsbridge Terrace,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,111300,Not Available,Not Available,2015-05-01T17:22:03.000,0,Not Available,Not Available,Not Available,Not Available,430.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10468,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.874317,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/03/2015 03:46 PM EST,10,Ok,Not Available,Not Available,Bronx,Not Available,1,Not Available,14238630,Not Available,Not Available,Not Available,Not Available
34 WEST 33RD STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T20:45:01.000,Not Available,Not Available,Not Available,Not Available,0,1464.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.61474,Not Available,10001,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,183.8,40.748364,834.6,Not Available,5241.4,76.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,Not Available,Not Available,NEW YORK,300,1,Not Available,48630026.8,Not Available,Not Available,Not Available,48530.3
330-340 Haven Ave.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,199468,Not Available,Not Available,2015-04-30T14:09:50.000,0,Not Available,Not Available,Not Available,0,1378.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10033,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,114.5,40.850852,262,Not Available,7754.7,79.9,Not Available,11000,Not Available,Not Available,Not Available,Not Available,04/23/2015 11:59 AM EDT,10,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,26128611.8,Not Available,Not Available,Not Available,5378.9
371 Fort Washington Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,81804,Not Available,Not Available,2015-04-30T14:09:54.000,0,Not Available,Not Available,Not Available,0,464.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10033,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,95.8,40.847579,72.3,Not Available,Not Available,70.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,5,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,10911162,Not Available,Not Available,Not Available,47261.8
220 West 19 Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T11:50:23.000,Not Available,Not Available,Not Available,Not Available,0,767.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.16141,2040.7,10011,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,171.5,40.742093,424.2,Not Available,2040.7,70.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,18648501.4,Not Available,New York,200,1,Not Available,25563930.5,Not Available,Not Available,Not Available,24661.4
249 East 48th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,164629,100,Not Available,2015-07-31T14:52:08.000,0,0,Not Available,Not Available,0,1071.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,310.5,40.754111,272.2,Not Available,Not Available,258.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,54746977,Not Available,New York,Not Available,1,Not Available,23275887.1,Not Available,Not Available,Not Available,422739
145 West 96th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,102000,Not Available,Not Available,2015-04-28T16:41:41.000,Not Available,Not Available,Not Available,Not Available,0,394.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4001.3,10025,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.793421,110.1,Not Available,4001.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,13048879.2,Not Available,Not Available,Not Available,Not Available
