address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
3601 Johnson Avenue,"Medical Office, Multifamily Housing",10694474.8,2016-03-22,Not Applicable: Standalone Property,No,459.8,Not Available,3120.9,Not Available,Not Available,Not Available,-27.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.76856,88,Not Available,Not Available,6925546.9,Not Available,Not Available,2.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,88,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,48,Multifamily Housing,Not Available,Not Available,Not Available,115600,3120.9,Not Available,Ok
158-40 HVA Jr. Ave.,Multifamily Housing,Not Available,Not Available,4442227,Not Available,110.5,Not Available,4845.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,1.2,Not Available,84,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,First Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
1427 Wythe Place,Multifamily Housing,11294147.7,2016-03-23,Not Applicable: Standalone Property,No,492.2,Not Available,11422,Not Available,Not Available,Not Available,20.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.08571,0,Not Available,Not Available,7541562.7,Not Available,Not Available,4.5,Not Available,Not Available,Not Available,No,Not Available,1.08571,Not Available,76,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,11422,Not Available,Ok
1045 St Johns Pl,Multifamily Housing,5615179.5,2016-03-28,Not Applicable: Standalone Property,No,252.4,Not Available,0,Not Available,Not Available,Not Available,-37.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,339.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.72227,0,Not Available,Not Available,2743434.2,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Yes,Not Available,0.72227,Not Available,54,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,74764,0,Not Available,Ok
658-666 West 188th Street,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,268.5,No,Not Available,Not Available,Not Available,Not Available,-44.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.8966,0,Not Available,Not Available,555200,Not Available,Not Available,3.8,Not Available,Not Available,Not Available,Yes,Not Available,0.29547,Not Available,88,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,98149,Not Available,Not Available,Ok
121 EAST 24TH STREET,"Office, Other",Not Available,2016-03-30,Not Applicable: Standalone Property,No,333.9,Not Available,2943.6,Not Available,Not Available,Not Available,-30.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68.0,1.71432,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,967.6,Not Available,Not Available,9.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"2015, 2014",2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,63270,Not Available,Not Available,Ok
66 West 38th Street,"Multifamily Housing, Parking, Retail Store",58227290.5,2016-03-10,Not Applicable: Standalone Property,No,2092.5,Not Available,15487.8,Not Available,Not Available,Not Available,12.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1.01903,374,Not Available,Not Available,21604370,Not Available,Not Available,8.8,Not Available,17200,Not Available,No,Not Available,0,17200,374,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,5,No,0.15623,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,373416,15487.8,Not Available,Ok
2105 Daly Avenue,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,363.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.01593,0,Not Available,Not Available,461280,Not Available,Not Available,8.2,Not Available,Not Available,Not Available,No,Not Available,1.01593,Not Available,75,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,73824,Not Available,Not Available,Ok
35 E. 76th Street,"Hotel, Parking",45495863943,Not Available,Not Applicable: Standalone Property,Yes,2470066.7,Not Available,Not Available,Not Available,Not Available,Not Available,70389.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,130.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2386297.1,Not Available,Not Available,15.3,Not Available,27541,Not Available,No,Not Available,Not Available,27541,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,100,296577,Not Available,Not Available,Ok
2190 Boston Rd.,Multifamily Housing,9695597.6,Not Available,Not Applicable: Standalone Property,No,411.7,Not Available,Not Available,Not Available,Not Available,Not Available,-12.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.84713,0,Not Available,Not Available,6083514.7,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,No,Not Available,0.84713,Not Available,74,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,87354,Not Available,Not Available,Ok
645 East 26th. Street,Multifamily Housing,6292187.6,2016-03-29,Not Applicable: Standalone Property,No,263.9,Not Available,4266.1,Not Available,Not Available,Not Available,-33.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,770.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83911,0,Not Available,Not Available,3919233.4,Not Available,Not Available,2.4,Not Available,Not Available,Not Available,Yes,Not Available,0.83911,Not Available,66,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,78655,4266.1,Not Available,Ok
152-154-156 East 171 St,"Multifamily Housing, Retail Store",10831823.2,Not Available,Not Applicable: Standalone Property,No,580.3,No,Not Available,Not Available,Not Available,Not Available,32.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,100,1.15162,0,Not Available,Not Available,461400,Not Available,Not Available,6.6,Not Available,Not Available,Not Available,No,Not Available,1.15162,Not Available,71,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,6,No,0.293,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,65065,Not Available,Not Available,Ok
1505 Leland Avenue,Multifamily Housing,9908794.4,Not Available,Not Applicable: Standalone Property,No,487.4,No,Not Available,Not Available,Not Available,Not Available,23.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21601.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.90909,0,Not Available,Not Available,1601500,Not Available,Not Available,6.2,Not Available,Not Available,Not Available,No,Not Available,0.36364,Not Available,60,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,66000,Not Available,Not Available,Ok
300 E 65 St,"Medical Office, Office, Other, Urgent Care/Clinic/Other Outpatient",132336558.9,2016-03-18,3615313,No,4422.2,Not Available,Not Available,Not Available,Not Available,Not Available,353.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,118.0,1.30111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,61.49,Mixed Use Property,Not Available,Not Available,Not Available,238341,Not Available,Not Available,Ok
501 Lefferts Avenue,Multifamily Housing,5725030.2,2016-03-27,Not Applicable: Standalone Property,No,310.4,Not Available,3655.4,Not Available,Not Available,Not Available,-22.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,329.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.11557,0,Not Available,Not Available,15947.1,Not Available,Not Available,3.6,Not Available,Not Available,Not Available,No,Not Available,1.11557,Not Available,60,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,53784,3655.4,Not Available,Ok
