property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
DEPM 1186 - 138 East 50th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,141.1,138 East 50th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.97194,Not Available,0,84.5,4313331.7,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.75631,Not Available,Ok,Not Available,4.0,No,Turtle Bay-East Midtown,Not Available,17.1,26567.08221,Not Available,4.9,Not Available,Not Available,Not Available,4313332,121.4,4313331.7,0.49098,Existing,252558.0,03/01/2022 04:25 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10022,Not Available,Not Available,No,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.22744,Not Available,Not Available,Not Available,Not Available,Not Available
360 Neptune,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,350 Neptune Ave,Not Available,Not Available,Office,0,Not Available,-73.965609,Not Available,0,84.5,732324.5,Not Available,2022-09-21T00:00:00.000,Not Available,313.0,Not Available,Not Available,40.58075,Not Available,Ok,100,48.0,No,Brighton Beach,Not Available,11,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,732324.6,156.7,732324.5,Not Available,Existing,66869.0,03/02/2022 07:50 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,0,Not Available,11235,Not Available,Not Available,No,364.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,120,Not Available,Not Available,Not Available
Daisy Management : 308 East 38 Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,202.2,308 East 38 Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.973445,Not Available,0,84.5,770052.7,Not Available,2022-09-23T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.747036,Not Available,Ok,Not Available,4.0,No,Murray Hill-Kips Bay,Not Available,7.4,38060.11393,Not Available,2.2,Not Available,Not Available,Not Available,770052.8,121.1,748993.4,0.97378,Existing,101666.0,08/25/2022 12:24 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.4,Not Available,0,Not Available,10016,Not Available,Not Available,No,78.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.42624,Not Available,Not Available,Not Available,Not Available,Not Available
Justin - 127 West 26,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,127 West 26th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.992396,Not Available,0,84.5,380596.7,Not Available,2022-09-22T00:00:00.000,Not Available,105.0,Not Available,Not Available,40.745225,Not Available,Ok,Not Available,3.0,No,Midtown-Midtown South,Not Available,4.1,0,Not Available,1.2,Not Available,Not Available,4,380596.7,120,380596.7,0.24739,Existing,92970.0,03/03/2022 11:31 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10001,Not Available,Not Available,No,95.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.73142,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 85 Livingston Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,593.5,85 Livingston Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.990826,Not Available,0,84.5,1434852.3,Not Available,2022-09-22T00:00:00.000,Not Available,302.0,Not Available,Not Available,40.69143,Not Available,Ok,Not Available,33.0,Yes,Brooklyn Heights-Cobble Hill,Not Available,6.1,111730.0052,Not Available,1.8,Not Available,Not Available,Not Available,1434853,131.8,1402357.4,1.09635,Existing,217084.0,04/07/2022 11:58 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,11201,23000,Not Available,No,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.64452,Not Available,Not Available,Parking,Not Available,Not Available
SW - 5009 Broadway,Not Available,Not Available,Ok,Not Available,Not Available,No,404.3,5009 Broadway,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.916989,Not Available,0,84.5,418457.5,Not Available,2022-09-26T00:00:00.000,Not Available,112.0,Not Available,Not Available,40.869199,Not Available,Ok,Not Available,10.0,No,Marble Hill-Inwood,Not Available,4.5,76110.21301,Not Available,1.3,Not Available,Not Available,0,418457.5,110.9,403670.6,0,Existing,89630.0,03/07/2022 07:24 PM EST,Not Available,Not Available,1-02243-0030,Not Available,Not Available,Not Available,No,0.9,Not Available,0,Not Available,10034,Not Available,Not Available,No,303.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09338,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - Hilltop Village 4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,935.2,87-10 204th Street / 87-30 204th Street / 86-70 Francis Lewis Boulevard,Not Available,Not Available,Multifamily Housing,0,Not Available,,Not Available,0,Not Available,1480513.8,Not Available,2022-09-22T00:00:00.000,Not Available,,Not Available,Not Available,,Not Available,Ok,Not Available,,No,,Not Available,4.5,176063.0055,Not Available,1.7,Not Available,Not Available,27,1480514,106.5,1458401.4,0,Existing,323778.0,03/07/2022 07:27 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,11474,Not Available,Not Available,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.92656,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2412 - 425 East 86th St,Not Available,Not Available,Ok,Not Available,Not Available,No,370.7,425 East 86th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.948387,Not Available,0,84.5,469706.8,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.77647,Not Available,Ok,Not Available,5.0,No,Yorkville,Not Available,3.9,69796.83458,Not Available,1.1,Not Available,Not Available,10,469706.8,121.7,461922.5,0.63371,Existing,118351.0,03/19/2022 05:07 PM EDT,Not Available,Not Available,1-01566-0010,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10028,Not Available,Not Available,No,14402.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40261,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 2010-42 Bruckner Blvd,Not Available,Not Available,Ok,Not Available,Not Available,No,1709.6,2010-42 Bruckner Boulevard,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.855483,Not Available,0,84.5,1666633.8,Not Available,2022-09-26T00:00:00.000,Not Available,209.0,Not Available,Not Available,40.826123,Not Available,Ok,Not Available,18.0,No,Westchester-Unionport,Not Available,4.2,321877.3445,Not Available,1.2,Not Available,Not Available,2,1666634,113.3,1604142.9,0.85956,Existing,386246.0,05/14/2022 07:43 PM EDT,Not Available,Not Available,"2-03682-0001, Multiple, 2010 Bruckner Blvd, 2040 Bruckner Blvd, 930
Pugsley Ave",Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10473,Not Available,Not Available,No,98.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.16247,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1342 - 205 West 89th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1168.9,205 West 89th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.974551,Not Available,0,84.5,1340977.9,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.790022,Not Available,Ok,Not Available,6.0,Yes,Upper West Side,Not Available,4.7,10279.11391,Not Available,1.3,Not Available,Not Available,16,1340978,113.5,1340977.9,0.55546,Existing,277250.0,03/07/2022 03:25 PM EST,Not Available,Not Available,1-01237-0017,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10024,12750,Not Available,No,175.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04959,Not Available,Not Available,Parking,Not Available,Not Available
DEPM 2342 - 201 East 25th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,732.5,201 East 25th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.98187,Not Available,0,84.5,1635772.7,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.739981,Not Available,Ok,Not Available,2.0,Yes,Murray Hill-Kips Bay,Not Available,8.4,137915.4695,Not Available,2.4,Not Available,Not Available,22,1635773,109.5,1619969.2,0.90371,Existing,185900.0,03/07/2022 04:16 PM EST,Not Available,Not Available,1-00906-0001,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10010,2000,Not Available,No,66.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.90371,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 1468 - 40 East End Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,101.9,40 East End Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.946997,Not Available,0,84.5,825563.7,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.771902,Not Available,Ok,Not Available,5.0,No,Yorkville,Not Available,8.7,19181.79541,Not Available,2.5,Not Available,Not Available,Not Available,825563.8,115.5,825563.7,0.60114,Existing,94820.0,03/30/2022 10:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,10028,Not Available,Not Available,No,136.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20228,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1918 - 175 East 74th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,473,175 East 74th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.960373,Not Available,0,84.5,616701.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.771381,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,5.5,84225.46203,Not Available,1.6,Not Available,Not Available,6,616701.3,118.7,616701.2,0.88905,Existing,107980.0,05/22/2022 10:37 PM EDT,Not Available,Not Available,1-01409-0033,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10021,Not Available,Not Available,No,128.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.31506,Not Available,Not Available,Retail Store,Not Available,Not Available
Progressive - 922 Forbell Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,126.5,922 Forbell Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.859987,Not Available,0,84.5,246313.6,Not Available,2022-09-22T00:00:00.000,Not Available,305.0,Not Available,Not Available,40.661976,Not Available,Ok,Not Available,42.0,No,East New York,Not Available,5.8,23808.99764,Not Available,1.7,Not Available,Not Available,Not Available,246313.6,116.4,244541.4,0,Existing,42485.0,03/03/2022 04:50 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,11208,Not Available,Not Available,No,1220.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.97717,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 178 East 80th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,715.9,178 East 80th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.957475,Not Available,0,84.5,809407.3,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.775244,Not Available,Ok,Not Available,5.0,No,Upper East Side-Carnegie Hill,Not Available,5.6,2409.017039,Not Available,1.7,Not Available,Not Available,0,809407.4,115.1,775625.7,1.06571,Existing,138875.0,03/03/2022 05:03 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10075,Not Available,Not Available,No,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.06571,Not Available,Not Available,Not Available,Not Available,Not Available
Park Terrace Manor (98),Not Available,Not Available,Ok,Not Available,Not Available,Not Available,227.3,98 Park Terrace East,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.915515,Not Available,0,84.5,138095.2,Not Available,2022-09-22T00:00:00.000,Not Available,112.0,Not Available,Not Available,40.871221,Not Available,Ok,Not Available,10.0,Yes,Marble Hill-Inwood,Not Available,3.1,1147.454515,Not Available,0.9,Not Available,Not Available,12,138095.2,128.8,132240.4,0,Existing,42763.0,03/02/2022 03:18 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10034,Not Available,Not Available,No,307.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.63693,Not Available,Not Available,Not Available,Not Available,Not Available
SW - 37-07 147th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,289.1,37-07 147th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.81925,Not Available,0,84.5,344229.1,Not Available,2022-09-26T00:00:00.000,Not Available,407.0,Not Available,Not Available,40.764431,Not Available,Ok,Not Available,20.0,No,Murray Hill,Not Available,4.6,54427.93858,Not Available,1.4,Not Available,Not Available,5,344229.1,134.7,333069.4,0,Existing,72773.0,03/07/2022 03:03 PM EST,Not Available,Not Available,4-05016-0011,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,11354,7400,Not Available,No,1163.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.60774,Not Available,Not Available,Parking,Not Available,Not Available
720 St. Mary's Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,158.2,720 St. Mary's St.,Not Available,Not Available,Multifamily Housing,2,Not Available,-73.910468,Not Available,0,84.5,190873.6,Not Available,2022-09-23T00:00:00.000,Not Available,201.0,Not Available,Not Available,40.808753,Not Available,Ok,Not Available,8.0,No,Mott Haven-Port Morris,Not Available,3.8,29784.73885,Not Available,1.1,Not Available,Not Available,0,190873.6,134.9,186914.8,0,Existing,49600.0,05/15/2022 07:46 PM EDT,Not Available,Not Available,Number of Active Energy Meters - Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10454,Not Available,Not Available,No,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.99597,Not Available,Not Available,Not Available,Not Available,Not Available
