address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
1 Whitehall Street,Not Available,Not Available,No,Not Available,Not Available,1000100023,Not Available,-4.4,Not Available,No,Not Available,Not Available,Not Available,103.5,Not Available,65,Not Available,No,322760,Not Available,4066714.3,Not Available,4265.5,10004,Not Available,Not Available,04/30/2019 09:06 AM EDT,Not Available,63093110.1,Not Available,329991.0,Not Available,63093110.1,Not Available,Not Available,Convenience Store without Gas Station,Not Available,Not Available,Not Available,7231,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2929 West 30th Street,Not Available,Not Available,No,320,No,3070510001,Not Available,-29.3,Not Available,No,Not Available,Not Available,0,56,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,10/2018,741599.9,Not Available,Not Available,11224,53597.9,Not Available,04/11/2019 11:58 AM EDT,Not Available,12476070.1,Not Available,136800.0,Not Available,12476070.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,136800,Not Available
34-85 82nd Street,Not Available,Not Available,No,488,Not Available,4014430019,Not Available,24.8,Not Available,No,Not Available,Not Available,593400,78.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1085689,Not Available,Not Available,11372,32276,Not Available,04/09/2019 02:10 PM EDT,Not Available,14342641.2,Not Available,94900.0,Not Available,14342641.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,94900,Not Available
445 Southern Boulevard,Not Available,Not Available,No,472,Not Available,2025760026,Not Available,-26,Not Available,No,Not Available,Not Available,Not Available,67.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1055999.9,Not Available,Not Available,10455,96460.7,Not Available,04/09/2019 02:09 PM EDT,Not Available,20199681.8,Not Available,196860.0,Not Available,20199681.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,196860,Not Available
2975 tibbett avenue,Not Available,Not Available,No,1066.4,Not Available,2057160725,Not Available,5.3,Not Available,No,Not Available,Not Available,678960.1,86,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1847367.7,Not Available,Not Available,10463,66634.3,Not Available,04/09/2019 02:10 PM EDT,Not Available,26321791,Not Available,162677.0,Not Available,26321791,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,162677,Not Available
187-01 Foch Boulevard,Not Available,Not Available,No,136,No,4124390032,Not Available,2.5,Not Available,No,Not Available,Not Available,Not Available,59.4,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,12/2018,375354.4,Not Available,Not Available,11412,1091.3,Not Available,04/11/2019 11:57 AM EDT,Not Available,5442494.5,Not Available,51660.0,Not Available,5442494.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,51660,Not Available
30-45 42nd Street,Not Available,Not Available,No,404,Not Available,4006960014,Not Available,9.9,Not Available,No,Not Available,Not Available,0,67.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,1548799.8,Not Available,Not Available,11103,58328.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,20906881,Not Available,165393.0,Not Available,20906881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,165393,Not Available
120 Broadway,Not Available,Not Available,No,Not Available,Not Available,1-00047-7501,Not Available,-33.1,Not Available,No,Not Available,Not Available,Not Available,65.6,Not Available,49.95,02/19/2019 10:58 AM EST,No,1858900,Not Available,21357597.4,Not Available,20831.7,10271,17098.2,Not Available,03/08/2019 08:05 PM EST,Not Available,266812530.9,Not Available,1910503.0,Not Available,266812530.9,Not Available,Not Available,Bank Branch,Not Available,Not Available,Not Available,32063,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
129-15 150th Avenue,Not Available,Not Available,No,416,No,4118820001,Not Available,10,Not Available,No,Not Available,Not Available,Not Available,82.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,08/2018,1167839.1,Not Available,Not Available,11420,4191,Not Available,04/11/2019 11:58 AM EDT,Not Available,17092022.9,Not Available,117680.0,Not Available,17092022.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,117680,Not Available
1114 Avenue of the Americas,Not Available,Not Available,No,Not Available,Not Available,1-01258-0009,Not Available,-11.9,Not Available,No,Not Available,Not Available,Not Available,109.7,Not Available,56.93,04/13/2019 01:52 PM EDT,No,1497125,Not Available,26668956.7,Not Available,30619.2,10036,46920.7,Not Available,04/17/2019 10:07 PM EDT,Not Available,348954736.2,Not Available,1557491.0,Not Available,349301557.7,Not Available,Not Available,Restaurant,Not Available,Not Available,Not Available,25369,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2400 Marion Avenue,Not Available,Not Available,No,204,Not Available,2030240021,Not Available,-9.7,Not Available,No,Not Available,Not Available,1021200.1,71.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,05/2018,628799.9,Not Available,Not Available,10458,64380.6,Not Available,04/09/2019 02:10 PM EDT,Not Available,13643530.9,Not Available,131644.0,Not Available,13643530.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,131644,Not Available
349 Cabrini Boulevard,Not Available,Not Available,No,137.6,Not Available,1021790365,Not Available,22.9,Not Available,No,Not Available,Not Available,937572.1,85,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,10/2018,357120,Not Available,Not Available,10040,47288.4,Not Available,04/09/2019 04:47 PM EDT,Not Available,9279344.4,Not Available,80480.0,Not Available,9279344.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,80480,Not Available
200  East  42nd  St.,Not Available,Not Available,No,Not Available,Not Available,1013150001,Not Available,-15.3,Not Available,No,Not Available,Not Available,Not Available,101,Not Available,65,Not Available,No,366528,Not Available,5055495,Not Available,7252.6,10017,Not Available,Not Available,04/26/2019 02:21 PM EDT,Not Available,74360654.6,0,384432.0,Not Available,74360654.6,Not Available,Not Available,Retail Store,15789,Not Available,Not Available,15789,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
