property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
233 East 69th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,2,0,Not Available,Not Available,90,33907057.3,Not Available,Possible Issue,374781.6,Ok,No,21638985.6,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,13366528.6,Not Available,1215548.3,692959.4,Lenox Hill-Roosevelt Island,Not Available,No specific resident population,Not Applicable: Standalone Property,200,0,Not Available,Fannie Mae Industry Survey - Multifamily,233.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1133,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,238182541.2,Not Available,Ok,Not Available,Ok,Not Available,108304127.7,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,149841538.5,Not Available,16324675.8,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,241.2,1400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,1,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Hahn Kook Center U.S.A. Inc.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,75,Not Available,Not Available,Not Available,Not Available,65509429.1,100,Possible Issue,466096.93,Ok,Not Available,28132999.6,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,38546710.2,Not Available,4771995.7,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,187.8,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
THE ARSENAL COMPANY LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,27650,83,Not Available,Not Available,Not Available,Not Available,75407996.1,Not Available,Ok,Not Available,Possible Issue,Not Available,30850803.8,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,100,47608280.7,Not Available,6115916.2,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2013, 2012",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Cadman Towers,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,30000,29,0,Not Available,Not Available,100,84486650.1,Not Available,Ok,Not Available,Ok,100% Yes,60581754.1,Not Available,Not Available,Ok,0,33.0,Not Available,0,Not Available,53113113.7,Not Available,2953163.3,47181216,Brooklyn Heights-Cobble Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,422,0,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
29 West 36th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,93,Not Available,Not Available,Not Available,Not Available,8452969.3,Not Available,Ok,Not Available,Ok,Not Available,3873752.1,Not Available,Not Available,Ok,0,4.0,Not Available,0,100,7836441.7,Not Available,624759.8,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,112.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Soho Grand Hotel,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,3095,24,Not Available,Not Available,Not Available,Not Available,53836465.6,Not Available,Ok,258532.67,Ok,Not Available,24594689,Not Available,Not Available,Ok,0,1.0,Not Available,0,Not Available,19387934.8,Not Available,3739795,1968915.6,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,282.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,100,Not Available,1.88345,Not Available,Not Available
328 W 86 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,67,0,Not Available,Not Available,100,6207315,Not Available,Possible Issue,Not Available,Ok,No,4726248.4,Not Available,Not Available,Ok,0,6.0,Not Available,0,Not Available,5304660,Not Available,196366.5,131725,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,47,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
41-10 BOWNE ST 1ENT,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,75,0.90091,Not Available,Not Available,Not Available,17734212.7,Not Available,Possible Issue,Not Available,Ok,Not Available,13030599.1,Not Available,Not Available,Ok,0,20.0,Not Available,0,Not Available,15503857.3,Not Available,568228.5,11091803,Flushing,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,106.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Rodless Properties LP WEST BLK 10352 LOT 79,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,67,Not Available,Not Available,Not Available,Not Available,14284587.1,Not Available,Ok,Not Available,Ok,Not Available,9090721.6,Not Available,Not Available,Ok,Not Available,27.0,Not Available,0,Not Available,11891639.7,Not Available,664443.2,6823099.9,Jamaica,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,62.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
200 Haven LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,38,0.76128,Not Available,Not Available,0,16590846.3,Not Available,Ok,Not Available,Ok,No,12528320.5,Not Available,Not Available,Ok,0,10.0,Not Available,0,Not Available,11629695.1,Not Available,544187.1,Not Available,Washington Heights South,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,127.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
178-60 WEXFORD TERR HOBM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,87,1.27676,Not Available,Not Available,Not Available,6320951.3,Not Available,Possible Issue,Not Available,Ok,Not Available,4446414.2,Not Available,Not Available,Ok,0,24.0,Not Available,0,Not Available,5961039.4,Not Available,231692.3,3655880.1,Jamaica Estates-Holliswood,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,108.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Fisher - 1345 Avenue of the Americas,Not Available,Not Available,0,No,1.45121,Not Available,Ok,Ok,Not Available,Not Available,32,Not Available,Not Available,Not Available,Not Available,640161277.6,Not Available,Possible Issue,2430949.56,Ok,Not Available,279139836.7,Not Available,Not Available,Ok,2500448.95,4.0,Not Available,0,100,230880976.3,Not Available,46129861.1,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,341.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
One Gracie Square Corporation,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,80,6434709.4,Not Available,Ok,Not Available,Ok,Not Available,4315682.6,Not Available,Not Available,Ok,0,5.0,Not Available,0,Not Available,4610615.5,Not Available,283968.8,451435.3,Yorkville,Not Available,Not Available,Not Applicable: Standalone Property,17,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Park Towers South Co., LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,90,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,Not Available,23427982.4,Not Available,Not Available,25482173.3,Clinton,Not Available,Not Available,Not Applicable: Standalone Property,275,0,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,4,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"UNION CLUB OF THE CITY NEW YORK, INC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,6,Not Available,Not Available,Not Available,Not Available,31240264.7,Not Available,Possible Issue,Not Available,Ok,Not Available,16916254.3,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,10172790.5,Not Available,1687991.5,1293900,Upper East Side-Carnegie Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,329,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,100,Not Available,0.22581,Not Available,Not Available
"Pelican: GC 1700, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,60,0,Not Available,Not Available,90,19697345.3,Not Available,Possible Issue,Not Available,Ok,No,12414977.3,Not Available,Not Available,Ok,Not Available,15.0,Not Available,0,Not Available,13257304.7,Not Available,937867.8,9227599.7,Mount Hope,Not Available,Not Available,Not Applicable: Standalone Property,157,0,Not Available,Fannie Mae Industry Survey - Multifamily,129.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
FOURTY FOUR EIGHTEEN ASSOCIATES,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,84,Not Available,Not Available,Not Available,Not Available,26141811.3,Not Available,Ok,Not Available,Possible Issue,Not Available,11557534.8,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,100,18503145,Not Available,1979919.5,1234173.7,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2013, 2012",2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
