activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
288286,191190,0.0,0,,,ROCKAWAY AVENUE,0.0,EAST NEW YORK AVENUE,367,0.44,2013-04-29T14:49:50.000,,,0,43880.0,1306619,1008913.0,694,46,4.0,,0.0,0
14158,157020,39.0,0,,,,,,,33.5,2010-11-02T14:55:59.000,,,0,,211759,,694,30,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
229234,134568,39.0,0,,,,,,,9.56,2010-11-02T14:55:59.000,,,0,,103907,,612,41,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
37913,8839,39.0,0,,,,2006.68,,,14.08,2010-11-02T14:55:54.000,,,0,,407782,,694,43,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
98969,49757,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,706628,,694,42,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
28295,3308,40.0,0,,,,,,,9.1,2010-11-02T14:55:54.000,,,0,,313209,,694,50,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
270888,181985,0.0,44,,,CHRISTOPHER AVENUE,0.0,LIBERTY AVENUE,44,0.74,2012-02-24T15:16:44.000,,,0,47121.0,1205553,1010154.0,694,30,4.0,,0.0,0
100634,50425,39.0,0,1.0,,,,,,6.6,2010-11-02T14:55:54.000,,,0,,707227,,694,13,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
228355,109886,,0,,,,,,,327.45,2010-11-02T14:55:57.000,,,0,,9707263,,623,13,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
87417,41651,39.0,82,,,,,,,1.99,2010-11-02T14:55:54.000,,,0,,610719,,694,3,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
100063,50237,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,707037,,694,62,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
