property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
41-11 40th Street - 32498,Ok,1941,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,110.8,Not Available,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,Not Available,Not Available,-73.923735,22,Not Available,1537963.9,Whole Building,5224.9,Not Available,79000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,550.5,8839704.1,344629,Not Available,Not Available,Not Available,Not Available,11104,Not Available,0,26.0,Not Available,Not Available
921 MONTGOMERY ST,Ok,1927,Not Available,1.59784,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,140.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,83.9,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.933893,74,Not Available,2170144,Whole Building,39625,Not Available,88244.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94,571.6,7438612.5,372237.6,Not Available,Not Available,Not Available,Not Available,11213,Not Available,0,35.0,0,Not Available
EOP 1140 Avenue of the Americas,Ok,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,174200,Not Available,Whole Building,Not Available,Not Available,Not Available,245.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,120.3,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.98309,31,Not Available,Not Available,Whole Building,Not Available,Not Available,174200.0,1,Not Available,450,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1324.7,21010223.6,4084611.6,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,4.0,Not Available,Not Available
733,Ok,1961,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,388358,Not Available,Whole Building,Not Available,Not Available,Not Available,296.8,Not Available,Not Available,Ok,Not Available,12/09/2015,Not Available,Not Available,97.6,100,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.972753,77,Not Available,Not Available,Not Available,Not Available,Not Available,388358.0,1,Not Available,1600,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4027.1,38910432,5391340.3,Not Available,Not Available,Not Available,Not Available,10017,Not Available,0,4.0,Not Available,Not Available
1111 Gerard Ave,Ok,1989,Not Available,1.83508,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,114.5,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.921399,20,Not Available,Not Available,Whole Building,92128.4,Not Available,99723.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41,548,11415604.5,647748.9,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,16.0,8,Not Available
462 West 58th Street,Ok,2008,Not Available,0.56468,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,112.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,66.4,Not Available,Clinton,Not Available,Not Available,Not Available,Not Available,-73.986909,27,Not Available,Not Available,Whole Building,40992.9,Not Available,109797.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,414.8,7285887.3,933937,Not Available,Not Available,Not Available,Not Available,10019,Not Available,0,3.0,0,Not Available
Deepdale Gardens D9,Ok,1951,Not Available,2.19955,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,138.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,114.9,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.728762,21,Not Available,Not Available,Not Available,48804.3,Not Available,52738.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4181,0,293.4,6024468.9,345233.7,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
73R65-Nyc Battery Park Ritz Carlton,Ok,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,107,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,67.4,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.01711,6,Not Available,Not Available,Whole Building,27946,Not Available,284292.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,956.9,20652561,4089593.7,Not Available,Not Available,Not Available,Not Available,10004,Not Available,0,1.0,Not Available,Not Available
(6165) - Christopher Street Owners,Ok,1964,Not Available,1.46281,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,143.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,Not Available,Not Available,West Village,Not Available,Not Available,Not Available,Not Available,-74.008822,69,Not Available,Not Available,Whole Building,7609.7,Not Available,165435.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,214,1230.7,14212656.1,852480.1,Not Available,Not Available,Not Available,Not Available,10014,Not Available,0,3.0,10,Not Available
84-05 108 Street,Ok,1931,Not Available,1.15,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,113.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,Not Available,Not Available,Richmond Hill,Not Available,Not Available,Not Available,Not Available,-73.842029,56,Not Available,Not Available,Not Available,32540.3,Not Available,60000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19,308,4793347,215047,Not Available,Not Available,Not Available,Not Available,11418,Not Available,0,32.0,0,Not Available
9302 Realty LLC,Ok,1928,Not Available,1.16975,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,77.2,Not Available,Rugby-Remsen Village,Not Available,Not Available,Not Available,Not Available,-73.921026,77,Not Available,Not Available,Whole Building,43759.8,Not Available,65826.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60,349.1,5012571.1,206726.9,Not Available,Not Available,Not Available,Not Available,11212,Not Available,0,41.0,0,Not Available
(5196) - Croyden Apartment Inc.,Ok,1957,Not Available,1.03333,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,48.7,Not Available,Elmhurst-Maspeth,Not Available,Not Available,Not Available,Not Available,-73.879571,99,Not Available,Not Available,Whole Building,72779.4,Not Available,180000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122,901.7,8684194.5,435418.7,Not Available,Not Available,Not Available,Not Available,11373,Not Available,0,25.0,8,Not Available
137 East 38th (763),Ok,1936,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.977461,60,Not Available,8204623.3,Whole Building,Not Available,Not Available,105000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,807.3,9895048.4,Not Available,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,Not Available,Not Available
1266-1268 Olmstead Ave,Ok,1928,Not Available,1.4449,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,135.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,80,Not Available,Westchester-Unionport,Not Available,Not Available,Not Available,Not Available,-73.854481,71,Not Available,Not Available,Whole Building,81468,Not Available,125960.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124,689.1,10103629.4,565827.6,Not Available,Not Available,Not Available,Not Available,10462,Not Available,0,18.0,16,Not Available
First Hsg Bldg #6,Unable to Check (not enough data),1953,Not Available,2.11429,Not Available,100% Yes,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,135.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,,5,Not Available
Eger Health Care & Rehabilitation Center,Ok,1993,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,243.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,Not Available,Not Available,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Not Available,Not Available,Not Available,Not Available,-74.13169,Not Available,Not Available,Not Available,Not Available,204238.9,Not Available,211000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1633.4,Not Available,3346102.1,Not Available,Not Available,Not Available,Not Available,10306,Not Available,0,50.0,Not Available,Not Available
New York Design Center,Ok,1960,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,220.6,Not Available,3295.3,Ok,Not Available,Not Available,Not Available,0.1,46.8,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.98057,88,Not Available,Not Available,Whole Building,69083.5,470000,470000.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3168.3,22299271.6,4152226.8,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,2.0,Not Available,Not Available
Deepdale Gardens E5,Ok,1952,Not Available,2.02196,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,135.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,133,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.730223,8,Not Available,Not Available,Not Available,53430,Not Available,49457.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4923,0,273,6497685.8,362564,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
